"electricity final consumption by sector in Kenya",Value,Year,Units
"Industry",7549,2000, TJ
"Industry",8362,2001, TJ
"Industry",8820,2002, TJ
"Industry",9014,2003, TJ
"Industry",9853,2004, TJ
"Industry",10468,2005, TJ
"Industry",11080,2006, TJ
"Industry",11908,2007, TJ
"Industry",11462,2008, TJ
"Industry",11656,2009, TJ
"Industry",12196,2010, TJ
"Industry",12995,2011, TJ
"Industry",12945,2012, TJ
"Industry",13676,2013, TJ
"Industry",14749,2014, TJ
"Industry",15292,2015, TJ
"Industry",15746,2016, TJ
"Industry",15666,2017, TJ
"Industry",16220,2018, TJ
"Industry",16520,2019, TJ
"Industry",16141,2020, TJ
"Industry",17868,2021, TJ
"Industry",18812,2022, TJ
"Industry",19650,2023, TJ
"Industry",20840,2024, TJ
"Commercial and Public Services",2645,2000, TJ
"Commercial and Public Services",2645,2001, TJ
"Commercial and Public Services",2645,2002, TJ
"Commercial and Public Services",2610,2003, TJ
"Commercial and Public Services",2804,2004, TJ
"Commercial and Public Services",3016,2005, TJ
"Commercial and Public Services",3070,2006, TJ
"Commercial and Public Services",3200,2007, TJ
"Commercial and Public Services",3779,2008, TJ
"Commercial and Public Services",3531,2009, TJ
"Commercial and Public Services",3038,2010, TJ
"Commercial and Public Services",3358,2011, TJ
"Commercial and Public Services",3326,2012, TJ
"Commercial and Public Services",4222,2013, TJ
"Commercial and Public Services",3636,2014, TJ
"Commercial and Public Services",4017,2015, TJ
"Commercial and Public Services",4269,2016, TJ
"Commercial and Public Services",4503,2017, TJ
"Commercial and Public Services",4962,2018, TJ
"Commercial and Public Services",4938,2019, TJ
"Commercial and Public Services",4763,2020, TJ
"Commercial and Public Services",5456,2021, TJ
"Commercial and Public Services",5721,2022, TJ
"Commercial and Public Services",5796,2023, TJ
"Commercial and Public Services",6077,2024, TJ
"Transport",,2000, TJ
"Transport",,2001, TJ
"Transport",,2002, TJ
"Transport",,2003, TJ
"Transport",,2004, TJ
"Transport",,2005, TJ
"Transport",,2006, TJ
"Transport",,2007, TJ
"Transport",,2008, TJ
"Transport",,2009, TJ
"Transport",,2010, TJ
"Transport",,2011, TJ
"Transport",,2012, TJ
"Transport",,2013, TJ
"Transport",,2014, TJ
"Transport",,2015, TJ
"Transport",,2016, TJ
"Transport",,2017, TJ
"Transport",,2018, TJ
"Transport",,2019, TJ
"Transport",,2020, TJ
"Transport",,2021, TJ
"Transport",,2022, TJ
"Transport",1,2023, TJ
"Transport",10,2024, TJ
"Residential",2879,2000, TJ
"Residential",3236,2001, TJ
"Residential",3531,2002, TJ
"Residential",2656,2003, TJ
"Residential",2804,2004, TJ
"Residential",2995,2005, TJ
"Residential",3268,2006, TJ
"Residential",3484,2007, TJ
"Residential",4345,2008, TJ
"Residential",4867,2009, TJ
"Residential",6004,2010, TJ
"Residential",6706,2011, TJ
"Residential",7365,2012, TJ
"Residential",7704,2013, TJ
"Residential",8927,2014, TJ
"Residential",9601,2015, TJ
"Residential",9680,2016, TJ
"Residential",10504,2017, TJ
"Residential",10645,2018, TJ
"Residential",10948,2019, TJ
"Residential",11492,2020, TJ
"Residential",11957,2021, TJ
"Residential",12458,2022, TJ
"Residential",12278,2023, TJ
"Residential",12875,2024, TJ
"Agriculture and forestry",118,2000, TJ
"Agriculture and forestry",129,2001, TJ
"Agriculture and forestry",136,2002, TJ
"Agriculture and forestry",82,2003, TJ
"Agriculture and forestry",82,2004, TJ
"Agriculture and forestry",79,2005, TJ
"Agriculture and forestry",100,2006, TJ
"Agriculture and forestry",86,2007, TJ
"Agriculture and forestry",86,2008, TJ
"Agriculture and forestry",,2009, TJ
"Agriculture and forestry",,2010, TJ
"Agriculture and forestry",,2011, TJ
"Agriculture and forestry",,2012, TJ
"Agriculture and forestry",,2013, TJ
"Agriculture and forestry",,2014, TJ
"Agriculture and forestry",,2015, TJ
"Agriculture and forestry",,2016, TJ
"Agriculture and forestry",,2017, TJ
"Agriculture and forestry",,2018, TJ
"Agriculture and forestry",,2019, TJ
"Agriculture and forestry",,2020, TJ
"Agriculture and forestry",,2021, TJ
"Agriculture and forestry",,2022, TJ
"Agriculture and forestry",,2023, TJ
"Agriculture and forestry",,2024, TJ